n_intervening_tokens,n_items,accuracy,mean_margin,median_margin
0,11,0.7272727272727273,3.7726100899956445,4.520202875137329
1,34,0.9411764705882353,5.227347181945601,4.562755584716797
2,40,0.9,4.5299386949162,4.885303378105164
3,27,0.8518518518518519,4.437875861733186,5.079795956611633
4,12,0.9166666666666666,5.724273714236915,5.846874356269836
5,16,0.875,4.472113066352904,4.975608587265015
6,16,1.0,5.995127095666248,6.45705034583807
7,14,0.8571428571428571,3.762848403837,4.180263638496399
8,16,0.9375,5.652370474301279,5.979091554880142
9,22,0.9545454545454546,4.71829437261278,5.2929496467113495
10,12,1.0,4.074502031008403,4.311134308576584
11,8,1.0,6.978767461143434,6.757675349712372
12,3,1.0,9.571988386412462,10.528922870755196
13,2,1.0,6.396618038415909,6.396618038415909
14,4,0.75,5.507985964417458,5.1921767592430115
15,2,1.0,5.358018938452005,5.358018938452005
16,2,1.0,6.859661400318146,6.859661400318146
17,3,1.0,8.911905924479166,8.421546936035156
18,2,1.0,5.462650448083878,5.462650448083878
19,2,1.0,5.258342921733856,5.258342921733856
22,1,1.0,7.258674517273903,7.258674517273903
23,1,1.0,5.116851806640625,5.116851806640625
24,1,1.0,7.726173251867294,7.726173251867294
26,1,1.0,8.030723311007023,8.030723311007023
27,1,1.0,1.4046630859375,1.4046630859375
29,1,1.0,8.523720122873783,8.523720122873783
36,1,1.0,7.22030633687973,7.22030633687973
