verb_stem,n_items,accuracy,mean_distance,mean_margin,median_margin,mean_correct_logprob
schlagen,15,0.7333333333333333,6.733333333333333,3.4224314586569866,4.7777018547058105,-3.1558808906624716
bringen,15,0.8666666666666667,5.8,3.2587015708287557,3.416656732559204,-2.464228638013204
laufen,15,0.8666666666666667,5.2,5.908943426857392,6.430282562971115,-2.22401336406668
fallen,15,0.8666666666666667,5.133333333333334,4.231878386686246,4.7617950439453125,-2.270502095669508
setzen,15,0.8666666666666667,6.733333333333333,4.163134308469792,4.567741572856903,-2.192877066321671
stellen,15,0.8666666666666667,5.8,4.4369323385258514,4.992904901504517,-2.222869748622179
treten,15,0.8666666666666667,5.4,5.248811280727386,6.014442265033722,-1.15750550031662
gehen,15,0.9333333333333333,7.733333333333333,6.134310406291236,6.740509212017059,-1.7647600791417062
geben,15,0.9333333333333333,5.533333333333333,4.571524782478809,4.285755313932896,-1.9991478567322096
halten,15,0.9333333333333333,5.333333333333333,6.755478000889222,6.0782856941223145,-2.197183259079854
kommen,15,0.9333333333333333,6.333333333333333,4.853927594671647,5.051162481307983,-2.185965822885434
ziehen,15,0.9333333333333333,6.4,4.735708075761795,4.493751555681229,-1.4594400425752003
finden,15,1.0,6.8,7.395416308194399,7.955307453870773,-0.7587369116644065
machen,15,1.0,5.266666666666667,4.069637652548651,3.0346219539642334,-2.949488413023452
nehmen,15,1.0,6.266666666666667,6.33079685109357,6.719162113964558,-1.0800226158152024
führen,15,1.0,6.133333333333334,5.146569889131934,3.324607878923416,-1.8295850740435222
sehen,15,1.0,6.266666666666667,5.302171442906062,5.474964022636414,-0.9794506808121999
