n_intervening_tokens,n_items,accuracy,mean_margin,median_margin
0,11,1.0,5.268456990068609,5.559473037719727
1,34,0.9117647058823529,5.415877314763801,5.1394253969192505
2,40,0.85,5.132651983635151,5.442640408873558
3,27,0.8888888888888888,5.145630594567154,4.801103472709656
4,12,1.0,6.445920196051399,6.430955022573471
5,16,0.9375,5.737437956267968,6.301771268248558
6,16,1.0,7.030118266309728,7.277722120285034
7,14,0.9285714285714286,5.241066123758044,6.0069610476493835
8,16,0.9375,6.160002631135285,6.316956549882889
9,22,1.0,5.951937588524412,6.211274221539497
10,12,0.9166666666666666,5.116416570420067,5.834265746176243
11,8,0.875,7.1310354139423,7.733075309544802
12,3,1.0,10.210273435960213,10.020034402608871
13,2,1.0,9.861367989331484,9.861367989331484
14,4,1.0,8.103651531040668,7.506786063313484
15,2,1.0,6.166803445667028,6.166803445667028
16,2,1.0,7.225916922092438,7.225916922092438
17,3,1.0,9.77618789859116,11.291546165943146
18,2,1.0,8.782230181153864,8.782230181153864
19,2,1.0,5.388013988733292,5.388013988733292
22,1,1.0,8.658590711653233,8.658590711653233
23,1,1.0,9.703533604741096,9.703533604741096
24,1,1.0,6.609623074531555,6.609623074531555
26,1,1.0,11.594180782325566,11.594180782325566
27,1,1.0,3.4478015899658203,3.4478015899658203
29,1,1.0,12.068485535681248,12.068485535681248
36,1,1.0,10.268790885806084,10.268790885806084
