verb_stem,n_items,accuracy,mean_distance,mean_margin,median_margin,mean_correct_logprob
bringen,15,0.7333333333333333,5.8,3.0971999009450277,4.584241628646851,-2.527680957317352
ziehen,15,0.8,6.4,4.708630393942197,4.190431833267212,-1.9379730155070622
machen,15,0.8666666666666667,5.266666666666667,5.157562312188869,6.169193297624588,-2.5373379461932926
schlagen,15,0.8666666666666667,6.733333333333333,5.02278516019384,5.259534806013107,-2.1541880396505197
laufen,15,0.8666666666666667,5.2,6.195720541849733,6.79096794128418,-1.8784209923197825
treten,15,0.9333333333333333,5.4,5.286046759287516,4.727104187011719,-1.5147980372111003
kommen,15,0.9333333333333333,6.333333333333333,6.535035838310917,8.186476051807404,-1.7058696909497182
führen,15,0.9333333333333333,6.133333333333334,6.01673102962474,5.762004613876343,-1.385721407458186
gehen,15,0.9333333333333333,7.733333333333333,7.397633464921577,8.150218516588211,-1.521794978987115
halten,15,1.0,5.333333333333333,8.366627811516326,7.976707845926285,-0.8732671825836102
fallen,15,1.0,5.133333333333334,5.886250178640087,6.528285920619965,-1.3360815042008956
geben,15,1.0,5.533333333333333,5.265874883780877,5.559473037719727,-1.8742935605347157
nehmen,15,1.0,6.266666666666667,6.492219552273552,6.609623074531555,-1.047689031685392
sehen,15,1.0,6.266666666666667,6.138092712375025,6.218475580215454,-1.2249992014840245
setzen,15,1.0,6.733333333333333,6.714551779131095,6.142887130379677,-1.091437422732512
finden,15,1.0,6.8,8.009065926571687,8.658590711653233,-0.6405820086598396
stellen,15,1.0,5.8,4.967267834891875,3.8511908054351807,-2.138797120501598
