n_intervening_tokens,n_items,accuracy,mean_margin,median_margin
0,11,0.8181818181818182,3.586145606907931,3.724441647529602
1,34,0.8823529411764706,4.304323176596561,3.5473451614379883
2,40,0.825,4.26759920817276,4.437232732772827
3,27,0.7777777777777778,4.411695775144768,4.742023229598999
4,12,0.8333333333333334,5.142243832970659,4.916883587837219
5,16,0.875,3.139246337905206,3.345428466796875
6,16,0.9375,5.258655864337925,4.927749663591385
7,14,0.8571428571428571,3.365936504410846,3.2781009674072266
8,16,0.875,4.059412091039121,4.441684767603874
9,22,1.0,4.550153239275625,3.935279905796051
10,12,0.8333333333333334,3.243192813320396,4.5203686356544495
11,8,0.75,4.858299480751157,5.010776549577713
12,3,1.0,7.227348456159234,7.309154465794563
13,2,1.0,6.030231386423111,6.030231386423111
14,4,1.0,6.509716037660837,6.404688097536564
15,2,1.0,3.7165586054325104,3.7165586054325104
16,2,1.0,5.309844672679901,5.309844672679901
17,3,0.6666666666666666,8.209387608493367,10.085815535858274
18,2,1.0,8.058366663753986,8.058366663753986
19,2,1.0,4.008768081665039,4.008768081665039
22,1,1.0,7.566695980727673,7.566695980727673
23,1,1.0,11.739891346544027,11.739891346544027
24,1,1.0,8.504146881401539,8.504146881401539
26,1,1.0,10.112900054082274,10.112900054082274
27,1,1.0,3.9359664916992183,3.9359664916992183
29,1,1.0,10.513438828289509,10.513438828289509
36,1,1.0,9.044751912355425,9.044751912355425
