verb_stem,n_items,accuracy,mean_distance,mean_margin,median_margin,mean_correct_logprob
schlagen,15,0.7333333333333333,6.733333333333333,3.3873400336752337,3.9359664916992183,-2.895737699046731
bringen,15,0.8,5.8,2.1268656055132547,2.481067657470703,-3.109530834356944
führen,15,0.8,6.133333333333334,4.018231318394343,2.753970980644226,-2.0832562863826753
fallen,15,0.8,5.133333333333334,4.190583598148078,3.9069786071777344,-2.038790222474684
laufen,15,0.8,5.2,4.7177381471420325,5.699020326137543,-2.91347984119008
gehen,15,0.8,7.733333333333333,5.806730763808203,6.213007926940918,-2.2691707723385965
ziehen,15,0.8,6.4,3.2555540130473672,3.624584197998047,-2.618771810736507
geben,15,0.8666666666666667,5.533333333333333,4.196528317282597,4.007976710796356,-2.4136182688176633
setzen,15,0.8666666666666667,6.733333333333333,4.75381176052615,5.814189910888672,-2.4350912851281463
machen,15,0.8666666666666667,5.266666666666667,3.3979080777304866,3.425802230834961,-3.2690302271706364
kommen,15,0.9333333333333333,6.333333333333333,5.603315967868548,4.97466678917408,-2.557227846432943
nehmen,15,0.9333333333333333,6.266666666666667,5.9750768544928485,6.770889043807983,-1.6993915038648992
stellen,15,0.9333333333333333,5.8,4.171928989204267,3.7205809354782096,-2.42829612561812
treten,15,0.9333333333333333,5.4,3.6983697881301243,3.4493980407714844,-1.8531212657690048
sehen,15,0.9333333333333333,6.266666666666667,4.635991416933636,5.111553430557251,-1.5145033493017157
halten,15,1.0,5.333333333333333,6.617842271613578,5.621612668037415,-2.034849633090198
finden,15,1.0,6.8,6.090442624191443,6.06598287820816,-0.9383654609322548
